brand_code,title,term,shape,dose,يارانه ارزي, مبلغ سهم سازمان با احتساب يارانه ارزي,percent_share_of_organization_exchange_subsidy,سهم صعب العلاج,سهم ناباروري,قيمت,price_exchange_subsidy,سهم سازمان,فهرست,قيمت در استانها,ROW_COLOR,Rx Code,FDA Code,
1406,BENZYDAMINE HCL,,ORAL  TOP  SOL,0.15%      (120 ml),,71400,70%,20%, ,102000,102000,70%,"مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,نياز به کد اصالت دارو",,,62709,1406,
146,BENZYL  BENZOATE,,BULK,,,1092,70%, , ,1560,1560,70%,"مددجويان کميته امداد
,بهزيستي",,,,,
2372,BERACTANT, بيمارستاني   تجويز توسط پزشك متخصص بيماريهاي كودكان با سهم سازمان 90 درصد ,INTRATRACHEAL INJ,200 mg/8 ml,22384000,32176000,96.729, , ,10880000,33264000,90%,"مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,فهرست يارانه اي وزارت بهداشت
,نياز به کد اصالت دارو",,,67131,2372,
16889,BERACTANT, بيمارستاني   تجويز توسط پزشك متخصص بيماريهاي كودكان با سهم سازمان 90 درصد ,VIAL,100 mg/4 ml,13946000,19571000,96.905, , ,6250000,20196000,90%,"مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,فهرست يارانه اي وزارت بهداشت
,نياز به کد اصالت دارو",,,67130,16889,
2111,BETACAROTENE,   تجويز توسط پزشك متخصص,CAP,15 mg,,980,70%, , ,1400,1400,70%,"مددجويان کميته امداد
,بهزيستي",,,,,
2112,BETACAROTENE,   تجويز توسط پزشك متخصص,CAP,25 mg,,0,70%, , , , ,70%,"مددجويان کميته امداد
,بهزيستي",,,,,
685,BETAFERON® (INTERFERON B 1B ), داروهاي تخصصي بيماران خاص در صندوق ام اس   تجويز توسط پزشك متخصص / تاييد در داروخانه / با سهم سازمان 59.42 درصد ,VIAL,8MIU,,713040,59.42%, , ,1200000,1200000,59.42%,"داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,داروهاي تخصصي بيماران خاص
,فهرست يارانه اي وزارت بهداشت
,نياز به کد اصالت دارو",,,,12560,
148,BETAHISTINE 2HCL,,TAB,8 mg,1066,4988,74.794, , ,5604,6670,70%,"داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي
,روستايي",,,60992,,
9805,BETAIN ANHYDROUS, پرونده اي   تجويز توسط پزشك متخصص با سهم سازمان 98 درصد ,ORAL POWDER,100G,,6517000,98%, , ,6650000,6650000,98%,"مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,فهرست يارانه اي وزارت بهداشت
,نياز به کد اصالت دارو",,,67132,9805,
6370,BETAINE ANHYDROUS, پرونده اي   تجويز توسط پزشك متخصص با سهم سازمان 98 درصد ,ORAL POWDER,180G,104114000,123006440,99.687,2%, ,19278000,123392000,98%,"مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,فهرست يارانه اي وزارت بهداشت
,نياز به کد اصالت دارو",,,64440,6370,
60180,BETAMETHASON CREAM -T*,,BULK,1 g,,700,70%, , ,1000,1000,70%,"مددجويان کميته امداد
,بهزيستي",,,,,
60190,BETAMETHASON LOTION -T*,,BULK,1 ml,,630,70%, , ,900,900,70%,"مددجويان کميته امداد
,بهزيستي",,,,,
60200,BETAMETHASON POMMADE -T*,,BULK,1 g,,840,70%, , ,1200,1200,70%,"مددجويان کميته امداد
,بهزيستي",,,,,
150,BETAMETHASONE,,TAB,0.5 mg,1781,2796,86.536, , ,1450,3231,70%,"داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي",,,60999,,
149,BETAMETHASONE  (AS DISODIUM PHOSPHATE),,INJ,4 mg/ml,21400,51290,80.015, , ,42700,64100,70%,"داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي
,روستايي",,,,,
159,BETAMETHASONE  (AS VALERATE),,LOTION,0.1%    (20 ml),19224,87177,74.958, , ,97076,116300,70%,"داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي
,روستايي",,,61008,,
160,BETAMETHASONE  (AS VALERATE),,TOP  OINT,0.1%    (15 g),15862,63628,75.658, , ,68238,84100,70%,"داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي
,روستايي",,,61011,,
161,BETAMETHASONE  (AS VALERATE),,TOP  CREAM,0.1%    (15 g),16295,63758,75.812, , ,67805,84100,70%,"داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي
,روستايي",,,61013,,
5476,BETAMETHASONE  (AS VALERATE),,TOP  OINT,0.1%    (100 g),,13650,70%, , ,19500,19500,70%,"مددجويان کميته امداد
,بهزيستي",,,,,
151,BETAMETHASONE DISODIUM PHOSPHATE,,OPHTH  OINT,0/1%,76000,96300,91.714, , ,29000,105000,70%,"داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي
,روستايي",,,61000,,
152,BETAMETHASONE DISODIUM PHOSPHATE,,OPHTH/OTIC/NASAL DROP,0/1%,26630,87369,77.044, , ,86770,113400,70%,"داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي
,روستايي",,,,,
153,BETAMETHASONE LA,,INJ,,28500,58600,81.958, , ,43000,71500,70%,"داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي
,روستايي",,,61007,,
163,BETAXOLOL  (AS HCL),,STERILE  EYE  DROP,0/5%,25208,95838,75.996, , ,100900,126108,70%,"داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي",,,67133,,
162,BETHANECHOL CHLORIDE,,TAB,10 mg,18850,23610,92.046, , ,6800,25650,70%,"داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي",,,61015,,
5615,BEVACIZUMAB, پرونده اي   تجويز توسط پزشك متخصص بيماريهاي خون وانكولوژي و راديوتراپي,VIAL,100MG/4ML,2852733,11250819,75.763,20%, ,11997266,14849999,70%,"داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,فهرست يارانه اي وزارت بهداشت
,نياز به کد اصالت دارو",,,67135,5615,
5616,BEVACIZUMAB, پرونده اي   تجويز توسط پزشك متخصص بيماريهاي خون وانكولوژي و راديوتراپي,VIAL,400MG/ 16ML,9335450,39391035,75.357,20%, ,42936550,52272000,70%,"داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,فهرست يارانه اي وزارت بهداشت
,نياز به کد اصالت دارو",,,67134,5616,
6765,BICALUTAMIDE,   تجويز توسط پزشك متخصص,TAB,50 mg,20438,64979,77.293,20%, ,63631,84069,70%,"داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,فهرست يارانه اي وزارت بهداشت
,نياز به کد اصالت دارو",,,64598,6765,
7582,BICALUTAMIDE, پرونده اي بيمه سلامت   تجويز توسط پزشك متخصص,TAB,150MG,109056,219077,82.288,20%, ,157173,266229,70%,"داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,فهرست يارانه اي وزارت بهداشت
,نياز به کد اصالت دارو",,,64889,7582,
5284,BICARBONATE,   تجويز توسط پزشك متخصص با سهم سازمان 100 درصد ,POWDER  PACKAGE,,,75000,100%, , ,75000,75000,100%,"مددجويان کميته امداد
,بهزيستي
,فهرست يارانه اي وزارت بهداشت",,,,,
164,BIPERIDEN HCL,,TAB,2 mg,3111,6204,82.394, , ,4419,7530,70%,"داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي
,روستايي",,,61019,,
1410,BIPERIDEN HCL SR, توليد داخل,COATED  TAB,4 mg,,0,70%, , , , ,70%,"مددجويان کميته امداد
,بهزيستي",,,62711,,
165,BIPERIDEN LACTATE,,INJ,5 mg,26972,57966,81.356, , ,44278,71250,70%,"داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,روستايي
,نياز به کد اصالت دارو",,,67139,165,
166,BISACODYL, بيش از 0 سال  کمتر از 12 سال ,SUPP,10 mg,13700,22100,85.992, , ,12000,25700,70%,"مددجويان کميته امداد
,بهزيستي
,مامايي",,,,,
167,BISACODYL, بيش از 0 سال  کمتر از 12 سال ,EC  TAB,5 mg,1400,2450,84.482, , ,1500,2900,70%,"مددجويان کميته امداد
,بهزيستي
,مامايي",,,,,
168,BISACODYL,,PED  SUPP,5 mg,12200,15140,92.317, , ,4200,16400,70%,"مددجويان کميته امداد
,بهزيستي
,مامايي",,,,,
169,BISMUTH SUB CITRATE,,TAB,120 mg,3370,10111,77.776, , ,9630,13000,70%,"مددجويان کميته امداد
,بهزيستي",,,61033,,
60710,BISMUTH SUB NITRATE,,BULK,,,1512,70%, , ,2160,2160,70%,"مددجويان کميته امداد
,بهزيستي",,,,,
170,BLEOMYCIN  (AS SULFATE) 15U INJECTION, پرونده اي بيمه سلامت   تجويز توسط پزشك متخصص با سهم سازمان 90 درصد ,VIAL,15U,3564000,4624200,97.515,5%, ,1178000,4742000,90%,"مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,فهرست يارانه اي وزارت بهداشت
,نياز به کد اصالت دارو",,,61035,170,
171,BORAX,,BULK,,,420,70%, , ,600,600,70%,"مددجويان کميته امداد
,بهزيستي",,,,,
172,BORIC ACID,,BULK,,,588,70%, , ,840,840,70%,"مددجويان کميته امداد
,بهزيستي",,,,,
21454,BORTENAT® (BORTEZOMIB), پرونده اي   تجويز توسط پزشك فوق تخصص بيماريهاي خون وانكولوژي<br> يا  پرونده اي   تجويز توسط پزشك فوق تخصص راديوتراپي<br> يا  پرونده اي   تجويز توسط پزشك متخصص بيماريهاي خون وانكولوژي<br> يا  پرونده اي   تجويز توسط پزشك متخصص راديوتراپي,INJ,3.5MG,3881854,14381854,76.167, , ,15000000,18881854,70%,"داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,فهرست يارانه اي وزارت بهداشت
,نياز به کد اصالت دارو",,,,7088,
7088,BORTEZOMIB, پرونده اي   تجويز توسط پزشك فوق تخصص بيماريهاي خون وانكولوژي<br> يا  پرونده اي   تجويز توسط پزشك فوق تخصص راديوتراپي<br> يا  پرونده اي   تجويز توسط پزشك متخصص بيماريهاي خون وانكولوژي<br> يا  پرونده اي   تجويز توسط پزشك متخصص راديوتراپي,INJ,3.5MG,3881854,14381854,76.167,20%, ,15000000,18881854,70%,"داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,فهرست يارانه اي وزارت بهداشت
,نياز به کد اصالت دارو",,,64704,7088,
7848,BOSENTAN, پرونده اي بيمه سلامت   تجويز توسط پزشك فوق تخصص بيماريهاي ريه پر فشاري ريه<br> يا  پرونده اي بيمه سلامت   تجويز توسط پزشك فوق تخصص بيماريهاي ريه پر فشاري ريه با سهم سازمان 95 درصد ,TAB,125 mg,174343,314943,97.704,5%, ,148000,322343,95%,"داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,فهرست يارانه اي وزارت بهداشت
,نياز به کد اصالت دارو",,,64921,7848,
12114,BOSENTAN, پرونده اي بيمه سلامت   تجويز توسط پزشك فوق تخصص بيماريهاي ريه پر فشاري ريه<br> يا  پرونده اي بيمه سلامت   تجويز توسط پزشك فوق تخصص بيماريهاي ريه پر فشاري ريه با سهم سازمان 95 درصد ,TAB,62.5 mg,100107,194157,97.513,5%, ,99000,199107,95%,"داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,فهرست يارانه اي وزارت بهداشت
,نياز به کد اصالت دارو",,,65523,12114,
99968,BOTTLE   3000CC,,BULK,,,0,70%, , , , ,70%,"مددجويان کميته امداد
,بهزيستي",,,,,
99966,BOTTLE  1000CC,,BULK,,,0,70%, , , , ,70%,"مددجويان کميته امداد
,بهزيستي",,,,,
60910,BOTTLE  120CC,,BULK,,,2450,70%, , ,3500,3500,70%,"مددجويان کميته امداد
,بهزيستي",,,,,
99967,BOTTLE  2000CC,,BULK,,,0,70%, , , , ,70%,"مددجويان کميته امداد
,بهزيستي",,,,,
60920,BOTTLE  240 CC,,BULK,,,12950,70%, , ,18500,18500,70%,"مددجويان کميته امداد
,بهزيستي",,,,,
99965,BOTTLE  500 CC,,BULK,,,0,70%, , , , ,70%,"مددجويان کميته امداد
,بهزيستي",,,,,
60900,BOTTLE  60 CC,,BULK,,,1750,70%, , ,2500,2500,70%,"مددجويان کميته امداد
,بهزيستي",,,,,
1875,BOTULINUM A TOXIN,   تجويز توسط پزشك متخصص,INJ,1 ml,,0,70%, , , , ,70%,"مددجويان کميته امداد
,بهزيستي",,,,,
3623,BOTULINUM A TOXIN, پرونده اي بيمه سلامت   تجويز توسط پزشك متخصص,INJ,500IU,765200,3565200,74.817, , ,4000000,4765200,70%,"مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,نياز به کد اصالت دارو",,,67145,3623,
17768,BOTULINUM A TOXIN, پرونده اي بيمه سلامت   تجويز توسط پزشك متخصص مصرف در موارد غير از زيبايي,INJ,100IU,,7449400,70%, , ,10642000,10642000,70%,"مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,نياز به کد اصالت دارو",,,67141,17768,
19172,BOTULINUM A TOXIN, پرونده اي بيمه سلامت   تجويز توسط پزشك متخصص,INJ,300IU,762000,2862000,76.076, , ,3000000,3762000,70%,"مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,نياز به کد اصالت دارو",,,67143,19172,
21096,BOTULINUM A TOXIN, پرونده اي بيمه سلامت   تجويز توسط پزشك متخصص مصرف در موارد غير از زيبايي,VIAL,50,,5279400,70%, , ,7542000,7542000,70%,"مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,نياز به کد اصالت دارو",,,67144,21097,
1411,BOTULISM MONOVALENT (E), بيمارستاني,ANTITOXIN,,,0,70%, , , , ,70%,"مددجويان کميته امداد
,بهزيستي",,,,,
1412,BOTULISM POLYVALENT (A+B+E), بيمارستاني,INJ,,,0,70%, , , , ,70%,"مددجويان کميته امداد
,بهزيستي",,,,,
4254,BOVACTANT, بيمارستاني   تجويز توسط پزشك متخصص بيماريهاي كودكان با سهم سازمان 90 درصد ,AMP,50 mg/1.2 ml,,7650000,90%, , ,8500000,8500000,90%,"مددجويان کميته امداد
,بهزيستي
,فهرست يارانه اي وزارت بهداشت
,نياز به کد اصالت دارو",,,,,
11244,BOVINE  LUNG  SURFACTANT, بيمارستاني   تجويز توسط پزشك متخصص بيماريهاي كودكان,LYOPHILIZED  POWDER,120 mg/4 ml,,1386000,70%, , ,1980000,1980000,70%,"مددجويان کميته امداد
,بهزيستي",,,,,
21266,BOVINE LIPID EXTRACT SURFACTANT, بيمارستاني   تجويز توسط پزشك متخصص بيماريهاي كودكان با سهم سازمان 90 درصد ,INJ,27mg/ml-(5ml),27884400,34864440,97.823, , ,7755600,35640000,90%,"مددجويان کميته امداد
,بهزيستي
,فهرست يارانه اي وزارت بهداشت
,نياز به کد اصالت دارو",,,67968,,
175,BRETYLIUM  TOSILATE, بيمارستاني,INJ,50 mg/ml    (10 ml),,125510,70%, , ,179300,179300,70%,"مددجويان کميته امداد
,بهزيستي",,,,,
2252,BRETYLIUM  TOSILATE, بيمارستاني,INJ,50 mg/ml    (2 ml),,0,70%, , , , ,70%,"مددجويان کميته امداد
,بهزيستي",,,,,
2253,BRETYLIUM  TOSILATE, بيمارستاني,INJ,50 mg/ml    (20 ml),,117747,70%, , ,168210,168210,70%,"مددجويان کميته امداد
,بهزيستي",,,,,
1930,BRINZOLAMIDE,   تجويز توسط پزشك متخصص بيماريهاي چشم /تاييد در داروخانه,OPHTH  SUSP,1%,,157500,70%, , ,225000,225000,70%,"مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,نياز به کد اصالت دارو",,,67147,1930,
176,BROMHEXINE  HCL,,INJ,4 mg/2 ml,6560,21120,77.192, , ,20800,27360,70%,"داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي",,,61042,,
177,BROMHEXINE  HCL, بيش از 0 سال  کمتر از 12 سال ,ELIXIR,4 mg/5 ml,55100,114600,81.798, , ,85000,140100,70%,"مددجويان کميته امداد
,بهزيستي",,,67148,,
178,BROMHEXINE  HCL, بيش از 0 سال  کمتر از 12 سال ,TAB,8 mg,1350,2330,84.727, , ,1400,2750,70%,"مددجويان کميته امداد
,بهزيستي
,روستايي",,,67149,,
179,BROMOCRIPTINE,,TAB,2.5 mg,13227,18948,88.542, , ,8173,21400,70%,"داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي",,,61052,,
8889,BUDESONIDE,   تجويز توسط پزشك متخصص<br> يا    تجويز توسط پزشك متخصص متخصص ايمونولوژي و آلرژي و بيماريهاي كودكان و بيماريهاي ريه,NEBULISING SUSPENSION,0.5MG/2Ml(0.25MG/1ML),136000,154900,95.03, , ,27000,163000,70%,"مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,نياز به کد اصالت دارو",,,67158,8889,
8891,BUDESONIDE,   تجويز توسط پزشك متخصص متخصص ايمونولوژي و آلرژي و بيماريهاي كودكان و بيماريهاي ريه,NEBULISING SUSPENSION,1MG/2Ml(0.5MG/1ML),198000,216900,96.4, , ,27000,225000,70%,"مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,نياز به کد اصالت دارو",,,60782,52306,
16503,BUDESONIDE/FORMOTEROL,   تجويز توسط پزشك متخصص تاييد در داروخانه,INHALER,320/9MCG-(400/12MCG) 60DOSE,2599033,3855509,87.744, , ,1794967,4394000,70%,"متخصص پزشکي خانواده
,داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,نياز به کد اصالت دارو",,,67155,16503,
16506,BUDESONIDE/FORMOTEROL,   تجويز توسط پزشك متخصص تاييد در داروخانه,INHALER,160/4.5MCG 60DOSE,679000,1050000,86.848, , ,530000,1209000,70%,"متخصص پزشکي خانواده
,مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,نياز به کد اصالت دارو",,,67153,16506,
50134,BUDESONIDE/FORMOTEROL,   تجويز توسط پزشك متخصص تاييد در داروخانه,INHALER,160/4.5MCG-(200/6 MCG) 120DOSE,3243618,4408685,89.826, , ,1664382,4908000,70%,"متخصص پزشکي خانواده
,مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,نياز به کد اصالت دارو",,,67151,21368,
50929,BUDESONIDE/FORMOTEROL,   تجويز توسط پزشك متخصص تاييد در داروخانه,INHALER    SPRAY,320/9MCG 120DOSE,4118920,5098976,92.389, , ,1400080,5519000,70%,"متخصص پزشکي خانواده
,مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,نياز به کد اصالت دارو",,,67154,50929,
6228,BULDOLAX®,,TAB,,,816,70%, , ,1166,1166,70%,"مددجويان کميته امداد
,بهزيستي
,مامايي",,,,,
181,BUPIVACAINE  HCL, بيمارستاني,INJ,0.25%    (20 ml),,13300,70%, , ,19000,19000,70%,"مددجويان کميته امداد
,بهزيستي
,نياز به کد اصالت دارو",,,61054,,
182,BUPIVACAINE  HCL, بيمارستاني,INJ,0.5%    (10 ml),,20650,70%, , ,29500,29500,70%,"مددجويان کميته امداد
,بهزيستي",,,,,
1413,BUPIVACAINE  HCL, بيمارستاني,INJ  (SPINAL),0.5%    (4 ml),286387,331887,94.45, , ,65000,351387,70%,"مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,نياز به کد اصالت دارو",,,62712,,
2316,BUPIVACAINE  HCL, بيمارستاني,INJ,0.25%    (10 ml),,16800,70%, , ,24000,24000,70%,"مددجويان کميته امداد
,بهزيستي",,,,,
2317,BUPIVACAINE  HCL, بيمارستاني   تجويز توسط پزشك متخصص بيهوشي,INJ,0.5%    (20 ml),,79100,70%, , ,113000,113000,70%,"مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,نياز به کد اصالت دارو",,,63623,2317,
1414,BUPRENORPHINE  (AS HCL), بيمارستاني,INJ,0.3 mg/ml,,5670,70%, , ,8100,8100,70%,"مددجويان کميته امداد
,بهزيستي
,نياز به کد اصالت دارو",,,62714,,
183,BURN OINTMENT (FOR MINOR BURNS), بيش از 0 سال  کمتر از 12 سال ,TOP  OINT,,95200,234850,79.691, , ,199500,294700,70%,"مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,نياز به کد اصالت دارو",,,61055,183,
184,BUSERELIN  (AS ACETATE), پرونده اي   تجويز توسط پزشك متخصص,NASAL  SPRAY,,,327600,70%, , ,468000,468000,70%,"مددجويان کميته امداد
,بهزيستي",,,,,
185,BUSERELIN  ACETATE, پرونده اي   تجويز توسط پزشك متخصص<br> يا  پرونده اي   تجويز توسط پزشك متخصص ---صرفا يراي خدمات باروري با سهم سازمان 90 درصد ,VIAL,5.5 mg/5.5ml,1038437,2361042,94.14,5%,"
90%",1469562,2507999,90%,"داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي
,داروهاي ناباروري
,الزام کنترل کد ژنريک
,فهرست يارانه اي وزارت بهداشت
,نياز به کد اصالت دارو",,,67162,185,
1888,BUSPIRONE HCL,,SCORED  TAB,5 mg,2560,4317,85.147, , ,2510,5070,70%,"داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي
,روستايي",,,63021,,
11020,BUSPIRONE HCL, توليد داخل,TAB,10 mg,3660,5662,86.84, , ,2860,6520,70%,"داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي",,,65404,,
186,BUSULFAN,   تجويز توسط پزشك متخصص با سهم سازمان 90 درصد  <br>يا  داروهاي تخصصي بيماران خاص در صندوق پيوند کليه   تجويز توسط پزشك متخصص با سهم سازمان 100 درصد ,TAB,2 mg,,"          14,400
          16,000","100%
90%",10%, ,16000,16000,"100%
90%","مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,فهرست يارانه اي وزارت بهداشت
,نياز به کد اصالت دارو",,,67163,186,
6700,BUSULFAN, بيمارستاني   تجويز توسط پزشك متخصص پيوندي با سهم سازمان 95 درصد  <br>يا  بيمارستاني و داروهاي تخصصي بيماران خاص در صندوق پيوند کليه   تجويز توسط پزشك متخصص با سهم سازمان 100 درصد ,AMP,60 mg/ml,17419200,"      21,185,760
      21,384,000","100
99.072",5%, ,3964800,21384000,"100%
95%","داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,فهرست يارانه اي وزارت بهداشت
,نياز به کد اصالت دارو",,,64541,6700,
88620,Base Glues ostomyConvexچسب پايه استومي, پرونده اي   تجويز توسط پزشك متخصص بيماريهاي كليه و مجاري ادراري<br> يا  پرونده اي   تجويز توسط پزشك متخصص جراحي عمومي,UN,1,,232750,70%, , ,332500,332500,70%,"مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,نياز به کد اصالت دارو",,,,88620,
88612,Base Glues ostomyچسب پايه استوميFlat, پرونده اي   تجويز توسط پزشك متخصص بيماريهاي كليه و مجاري ادراري<br> يا  پرونده اي   تجويز توسط پزشك متخصص جراحي عمومي,UN,1,,232750,70%, , ,332500,332500,70%,"مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,نياز به کد اصالت دارو",,,,88612,
187,C-LAX®,,TAB (JAR),,,1260,70%, , ,1800,1800,70%,"مددجويان کميته امداد
,بهزيستي
,روستايي
,مامايي",,,,90329,
13497,C-LAX®,,TAB (BILISTER),,,1344,70%, , ,1920,1920,70%,"مددجويان کميته امداد
,بهزيستي
,مامايي",,,,,
2287,CABERGULINE,   تجويز توسط پزشك متخصص /تاييد در داروخانه <br>يا    تجويز توسط پزشك متخصص ---صرفاً در خدمات باروري با سهم سازمان 90 درصد ,TAB,0.5 mg,90600,"         110,550
         116,250","92.821
97.607", ,"
90%",28500,119100,"70%
90%","داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي
,داروهاي ناباروري
,الزام کنترل کد ژنريک
,فهرست يارانه اي وزارت بهداشت
,نياز به کد اصالت دارو",,,67166,2287,
2374,CABERGULINE,   تجويز توسط پزشك متخصص <br>يا    تجويز توسط پزشك متخصص ---صرفاً در خدمات باروري با سهم سازمان 90 درصد ,TAB,1 mg,142100,"         170,100
         178,100","93.41
97.803", ,"
90%",40000,182100,"70%
90%","داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي
,داروهاي ناباروري
,فهرست يارانه اي وزارت بهداشت
,نياز به کد اصالت دارو",,,63680,,
8822,CABERGULINE,   تجويز توسط پزشك متخصص,TAB,2 mg,,35700,70%, , ,51000,51000,70%,"مددجويان کميته امداد
,بهزيستي
,فهرست يارانه اي وزارت بهداشت",,,,,
188,CADE OIL (GOODRON),   تجويز توسط پزشك متخصص,BULK,,,420,70%, , ,600,600,70%,"متخصص پزشکي خانواده
,مددجويان کميته امداد
,بهزيستي",,,,,
60210,CALAMIN CREAM -T*,,BULK,1 g,,350,70%, , ,500,500,70%,"مددجويان کميته امداد
,بهزيستي",,,,,
190,CALAMINE - D, بيش از 0 سال  کمتر از 12 سال ,TOP  CREAM,8%    (30 g),58100,130200,80.819, , ,103000,161100,70%,"مددجويان کميته امداد
,بهزيستي
,مامايي",,,,,
2592,CALAMINE - D, بيش از 0 سال  کمتر از 12 سال ,LOTION,8%    (60 ml),22700,89200,75.785, , ,95000,117700,70%,"مددجويان کميته امداد
,بهزيستي",,,63856,,
194,CALCITONIN,   تجويز توسط پزشك متخصص,INJ,50 iu/ml,23100,56980,79.692, , ,48400,71500,70%,"داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي",,,61065,,
2312,CALCITONIN,   تجويز توسط پزشك متخصص,INJ,100 iu/ml,,15400,70%, , ,22000,22000,70%,"مددجويان کميته امداد
,بهزيستي",,,67168,,
1415,CALCITONIN  SALMON,   تجويز توسط پزشك متخصص,NASAL  SPRAY,100 iu/dose,939400,1471120,86.587, , ,759600,1699000,70%,"داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,نياز به کد اصالت دارو",,,67168,1415,
1738,CALCITONIN  SALMON,   تجويز توسط پزشك متخصص,NASAL  SPRAY,200 iu/dose,1048600,1669360,86.254, , ,886800,1935400,70%,"داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,نياز به کد اصالت دارو",,,67169,1738,
195,CALCITRIOL,   تجويز توسط پزشك متخصص با سهم سازمان 90 درصد ,CAP,0.25 mcg,3312,16362,91.859,5%, ,14500,17812,90%,"متخصص پزشکي خانواده
,داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي
,فهرست يارانه اي وزارت بهداشت
,نياز به کد اصالت دارو",,,61068,,
14710,CALCITRIOL, پرونده اي بيمه سلامت   تجويز توسط پزشك متخصص,INJ,1MCG/1ml,,106190,70%, , ,151700,151700,70%,"مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,فهرست يارانه اي وزارت بهداشت
,نياز به کد اصالت دارو",,,65803,14710,
